,ICVT
2021-06-08,85.1620101928711
2021-06-09,84.95636749267578
2021-06-10,85.52183532714844
2021-06-11,85.92449188232422
2021-06-14,86.2757797241211
2021-06-15,85.50468444824219
2021-06-16,85.48759460449219
2021-06-17,85.84739685058594
2021-06-18,85.95880889892578
2021-06-21,86.1644058227539
2021-06-22,86.40431213378906
2021-06-23,87.13255310058594
2021-06-24,87.84368896484375
2021-06-25,87.80939483642578
2021-06-28,87.74938201904297
2021-06-29,87.95504760742188
2021-06-30,87.36384582519531
2021-07-01,87.46588897705078
2021-07-02,87.39729309082031
2021-07-06,87.33729553222656
2021-07-07,86.64293670654297
2021-07-08,85.9228286743164
2021-07-09,86.86579132080078
2021-07-12,86.6514892578125
2021-07-13,86.23143005371094
2021-07-14,85.15985870361328
2021-07-15,84.53411102294922
2021-07-16,83.88257598876953
2021-07-19,83.76254272460938
2021-07-20,85.11700439453125
2021-07-21,86.26144409179688
2021-07-22,86.11996459960938
2021-07-23,86.31716918945312
2021-07-26,86.15428161621094
2021-07-27,85.05703735351562
2021-07-28,86.21428680419922
2021-07-29,86.11138153076172
2021-07-30,85.72566223144531
2021-08-02,85.92208099365234
2021-08-03,85.8191909790039
2021-08-04,85.72480010986328
2021-08-05,86.63402557373047
2021-08-06,86.16223907470703
2021-08-09,86.27376556396484
2021-08-10,85.87064361572266
2021-08-11,85.95641326904297
2021-08-12,85.84488677978516
2021-08-13,85.4846420288086
2021-08-16,84.58401489257812
2021-08-17,84.1465072631836
2021-08-18,83.88920593261719
2021-08-19,83.38311004638672
2021-08-20,84.06073760986328
2021-08-23,85.15867614746094
2021-08-24,86.17943572998047
2021-08-25,86.6597671508789
2021-08-26,86.19657135009766
2021-08-27,87.20870971679688
2021-08-30,87.3631362915039
2021-08-31,87.41460418701172
2021-09-01,88.0805892944336
2021-09-02,88.35523986816406
2021-09-03,88.68133544921875
2021-09-07,88.46678161621094
2021-09-08,87.70296478271484
2021-09-09,87.6514663696289
2021-09-10,87.19660186767578
2021-09-13,87.04212188720703
2021-09-14,86.75032806396484
2021-09-15,87.1364974975586
2021-09-16,87.41973114013672
2021-09-17,87.52273559570312
2021-09-20,86.40704345703125
2021-09-21,86.56150817871094
2021-09-22,87.47122955322266
2021-09-23,88.17498779296875
2021-09-24,88.15782928466797
2021-09-27,88.02908325195312
2021-09-28,86.17529296875
2021-09-29,85.54019927978516
2021-09-30,85.60028076171875
2021-10-01,86.37317657470703
2021-10-04,85.05068969726562
2021-10-05,85.5573501586914
2021-10-06,85.64321899414062
2021-10-07,86.74243927001953
2021-10-08,86.13269805908203
2021-10-11,85.72908782958984
2021-10-12,86.34740447998047
2021-10-13,87.09452819824219
2021-10-14,87.64411163330078
2021-10-15,87.78154754638672
2021-10-18,87.97045135498047
2021-10-19,88.34830474853516
2021-10-20,88.42556762695312
2021-10-21,88.77764892578125
2021-10-22,87.91889953613281
2021-10-25,88.28816223144531
2021-10-26,87.77291870117188
2021-10-27,86.97428131103516
2021-10-28,87.94465637207031
2021-10-29,87.9575424194336
2021-11-01,88.89759826660156
2021-11-02,88.46798706054688
2021-11-03,88.45076751708984
2021-11-04,88.58824157714844
2021-11-05,89.13815307617188
2021-11-08,89.64513397216797
2021-11-09,89.66227722167969
2021-11-10,88.31328582763672
2021-11-11,88.63981628417969
2021-11-12,89.00926971435547
2021-11-15,88.92334747314453
2021-11-16,89.10379791259766
2021-11-17,88.1242446899414
2021-11-18,87.35094451904297
2021-11-19,86.86116790771484
2021-11-22,85.65818786621094
2021-11-23,85.00519561767578
2021-11-24,85.77851867675781
2021-11-26,84.15457153320312
2021-11-29,84.6185073852539
2021-11-30,83.492919921875
2021-12-01,81.43531036376953
2021-12-02,81.86532592773438
2021-12-03,80.61188507080078
2021-12-06,80.99614715576172
2021-12-07,82.69786071777344
2021-12-08,83.75
2021-12-09,82.35936737060547
2021-12-10,82.0116958618164
2021-12-13,81.2156982421875
2021-12-14,80.46551513671875
2021-12-15,81.00531768798828
2021-12-16,79.85791778564453
2021-12-17,80.5101547241211
2021-12-20,79.7936019897461
2021-12-21,81.66763305664062
2021-12-22,81.98916625976562
2021-12-23,82.35662841796875
2021-12-27,82.53115844726562
2021-12-28,81.95240783691406
2021-12-29,81.73194122314453
2021-12-30,82.32908630371094
2021-12-31,81.92488861083984
2022-01-03,82.02593231201172
2022-01-04,80.93273162841797
2022-01-05,79.55474853515625
2022-01-06,79.21487426757812
2022-01-07,78.89334869384766
2022-01-10,78.92088317871094
2022-01-11,79.89469146728516
2022-01-12,79.90386962890625
2022-01-13,78.69123077392578
2022-01-14,78.43401336669922
2022-01-18,77.27653503417969
2022-01-19,76.83557891845703
2022-01-20,76.5875244140625
2022-01-21,75.45760345458984
2022-01-24,75.42083740234375
2022-01-25,74.52058410644531
2022-01-26,74.34602355957031
2022-01-27,73.69379425048828
2022-01-28,74.34602355957031
2022-01-31,75.99960327148438
2022-02-01,77.07424926757812
2022-02-02,76.36640930175781
2022-02-03,74.9782485961914
2022-02-04,76.03546905517578
2022-02-07,76.39400482177734
2022-02-08,76.97315216064453
2022-02-09,78.46238708496094
2022-02-10,78.29695892333984
2022-02-11,76.87200927734375
2022-02-14,76.69732666015625
2022-02-15,78.00276184082031
2022-02-16,77.76374053955078
2022-02-17,76.35723876953125
2022-02-18,75.41950988769531
2022-02-22,74.27957916259766
2022-02-23,73.3694839477539
2022-02-24,74.78059387207031
2022-02-25,75.77806091308594
2022-02-28,76.35723876953125
2022-03-01,75.84294891357422
2022-03-02,76.42251586914062
2022-03-03,75.5301513671875
2022-03-04,74.23297882080078
2022-03-07,72.50342559814453
2022-03-08,72.48503112792969
2022-03-09,74.26058959960938
2022-03-10,73.77297973632812
2022-03-11,72.475830078125
2022-03-14,71.24310302734375
2022-03-15,71.69384002685547
2022-03-16,73.66261291503906
2022-03-17,74.58258056640625
2022-03-18,75.8797378540039
2022-03-21,75.39218139648438
2022-03-22,76.47769927978516
2022-03-23,75.82451629638672
2022-03-24,76.6341323852539
2022-03-25,76.22013092041016
2022-03-28,76.61572265625
2022-03-29,77.73807525634766
2022-03-30,77.2735366821289
2022-03-31,76.65254211425781
2022-04-01,77.10649108886719
2022-04-04,77.9075698852539
2022-04-05,76.67367553710938
2022-04-06,75.587158203125
2022-04-07,75.3477783203125
2022-04-08,74.97026062011719
2022-04-11,74.9380111694336
2022-04-12,74.78607940673828
2022-04-13,75.88182830810547
2022-04-14,75.35700225830078
2022-04-18,74.75849914550781
2022-04-19,75.35700225830078
2022-04-20,74.81369018554688
2022-04-21,73.43253326416016
2022-04-22,72.27235412597656
2022-04-25,72.93533325195312
2022-04-26,71.5817642211914
2022-04-27,71.29631805419922
2022-04-28,71.89481353759766
2022-04-29,70.97402954101562
2022-05-02,71.30857849121094
2022-05-03,71.25332641601562
2022-05-04,71.99064636230469
2022-05-05,70.01829528808594
2022-05-06,68.3685302734375
2022-05-09,65.37312316894531
2022-05-10,65.1335220336914
2022-05-11,64.19341278076172
2022-05-12,63.88005065917969
2022-05-13,65.80630493164062
2022-05-16,65.41921997070312
2022-05-17,67.10585021972656
2022-05-18,66.56207275390625
2022-05-19,66.30400848388672
2022-05-20,66.50675964355469
2022-05-23,66.54364013671875
2022-05-24,65.6219482421875
2022-05-25,65.9629898071289
2022-05-26,67.35470581054688
2022-05-27,68.54367065429688
2022-05-31,67.88925170898438
2022-06-01,67.73152160644531
2022-06-02,68.87542724609375
2022-06-03,68.18352508544922
2022-06-06,68.45105743408203
2022-06-07,68.8569564819336
2022-06-08,68.61712646484375
2022-06-09,67.67615509033203
2022-06-10,66.5968017578125
2022-06-13,63.598609924316406
2022-06-14,63.54324722290039
2022-06-15,65.03773498535156
2022-06-16,62.80525588989258
2022-06-17,62.97132110595703
2022-06-21,64.21672058105469
2022-06-22,64.1059799194336
2022-06-23,64.6595230102539
2022-06-24,65.83112335205078
2022-06-27,65.59586334228516
2022-06-28,64.74253845214844
2022-06-29,64.59494018554688
2022-06-30,63.986087799072266
2022-07-01,64.2586898803711
2022-07-05,64.72993469238281
2022-07-06,64.70219421386719
2022-07-07,65.4783935546875
2022-07-08,65.50611877441406
2022-07-11,64.86853790283203
2022-07-12,64.64676666259766
2022-07-13,64.41573333740234
