,DBMF
2024-09-04,25.044565200805664
2024-09-05,25.071598052978516
2024-09-06,24.864320755004883
2024-09-09,24.97246551513672
2024-09-10,25.062583923339844
2024-09-11,25.089624404907227
2024-09-12,25.152708053588867
2024-09-13,25.22480583190918
2024-09-16,25.305912017822266
2024-09-17,25.260852813720703
2024-09-18,25.143692016601562
2024-09-19,25.39603042602539
2024-09-20,25.486154556274414
2024-09-23,25.486154556274414
2024-09-24,25.630348205566406
2024-09-25,25.594297409057617
2024-09-26,25.711456298828125
2024-09-27,25.61235237121582
2024-09-30,25.57598304748535
2024-10-01,25.603261947631836
2024-10-02,25.630535125732422
2024-10-03,25.34868049621582
2024-10-04,25.257762908935547
2024-10-07,25.066831588745117
2024-10-08,25.057735443115234
2024-10-09,25.057735443115234
2024-10-10,24.98499870300293
2024-10-11,25.112289428710938
2024-10-14,25.121379852294922
2024-10-15,25.048643112182617
2024-10-16,25.130474090576172
2024-10-17,25.0213680267334
2024-10-18,25.139564514160156
2024-10-21,24.939538955688477
2024-10-22,24.930448532104492
2024-10-23,24.694055557250977
2024-10-24,24.784976959228516
2024-10-25,24.739513397216797
2024-10-28,24.830434799194336
2024-10-29,24.90317153930664
2024-10-30,24.721330642700195
2024-10-31,24.484939575195312
2024-11-01,24.521303176879883
2024-11-04,24.43038558959961
2024-11-05,24.50312042236328
2024-11-06,24.584949493408203
2024-11-07,24.821340560913086
2024-11-08,24.748605728149414
2024-11-11,24.675870895385742
2024-11-12,24.63949966430664
2024-11-13,24.64859390258789
2024-11-14,24.521303176879883
2024-11-15,24.50312042236328
2024-11-18,24.512210845947266
2024-11-19,24.50312042236328
2024-11-20,24.603132247924805
2024-11-21,24.66677474975586
2024-11-22,24.775882720947266
2024-11-25,24.66677474975586
2024-11-26,24.748605728149414
2024-11-27,24.594039916992188
2024-11-29,24.739513397216797
2024-12-02,24.839529037475586
2024-12-03,24.821340560913086
2024-12-04,24.90317153930664
2024-12-05,24.739513397216797
2024-12-06,24.866802215576172
2024-12-09,24.875896453857422
2024-12-10,24.857711791992188
2024-12-11,25.003185272216797
2024-12-12,24.89407730102539
2024-12-13,24.684961318969727
2024-12-16,24.675870895385742
2024-12-17,24.684961318969727
2024-12-18,24.466754913330078
2024-12-19,24.403108596801758
2024-12-20,24.421293258666992
2024-12-23,24.484939575195312
2024-12-24,24.575857162475586
2024-12-26,24.512210845947266
2024-12-27,24.48499870300293
2024-12-30,24.4099178314209
2024-12-31,24.55069351196289
2025-01-02,24.72900390625
2025-01-03,24.71961784362793
2025-01-06,24.635156631469727
2025-01-07,24.710233688354492
2025-01-08,24.86039161682129
2025-01-10,25.123165130615234
2025-01-13,25.1982421875
2025-01-14,25.00115966796875
2025-01-15,25.029315948486328
2025-01-16,25.00115966796875
2025-01-17,25.08562660217285
2025-01-21,24.822851181030273
2025-01-22,24.879161834716797
2025-01-23,24.944856643676758
2025-01-24,24.757156372070312
2025-01-27,24.588232040405273
2025-01-28,24.76654052734375
2025-01-29,24.747774124145508
2025-01-30,24.813467025756836
2025-01-31,24.841617584228516
2025-02-03,24.8885440826416
2025-02-04,24.77592658996582
2025-02-05,24.710233688354492
2025-02-06,24.747774124145508
2025-02-07,24.841617584228516
2025-02-10,25.06685447692871
2025-02-11,25.07624053955078
2025-02-12,25.132551193237305
2025-02-13,25.057472229003906
2025-02-14,24.804080963134766
2025-02-18,25.179475784301758
2025-02-19,25.057472229003906
2025-02-20,24.916696548461914
2025-02-21,24.65392303466797
2025-02-24,24.606996536254883
2025-02-25,24.353612899780273
2025-02-26,24.362993240356445
2025-02-27,24.334840774536133
2025-02-28,24.269145965576172
2025-03-03,24.109603881835938
2025-03-04,23.921907424926758
2025-03-05,23.893753051757812
2025-03-06,23.771751403808594
2025-03-07,23.80929183959961
2025-03-10,23.35881805419922
2025-03-11,23.34943199157715
2025-03-12,23.54651641845703
2025-03-13,23.565284729003906
2025-03-14,23.79051971435547
2025-03-17,23.884370803833008
2025-03-18,23.950063705444336
2025-03-19,23.959449768066406
2025-03-20,23.893753051757812
2025-03-21,23.884370803833008
2025-03-24,23.912521362304688
2025-03-25,23.950063705444336
2025-03-26,23.959449768066406
2025-03-27,24.034109115600586
2025-03-28,23.939599990844727
2025-03-31,23.87343978881836
2025-04-01,23.920698165893555
2025-04-02,23.85453987121582
2025-04-03,23.627714157104492
2025-04-04,23.344181060791016
2025-04-07,23.296926498413086
2025-04-08,23.259122848510742
2025-04-09,23.72222328186035
2025-04-10,23.589908599853516
2025-04-11,23.674968719482422
2025-04-14,23.571008682250977
2025-04-15,23.68442153930664
2025-04-16,23.769479751586914
2025-04-17,23.750577926635742
2025-04-21,23.73167610168457
2025-04-22,23.892343521118164
2025-04-23,23.863988876342773
2025-04-24,23.939599990844727
2025-04-25,24.05301284790039
2025-04-28,23.93014907836914
2025-04-29,23.863988876342773
2025-04-30,23.87343978881836
2025-05-01,23.712772369384766
2025-05-02,23.68442153930664
2025-05-05,23.741127014160156
2025-05-06,23.98685646057129
2025-05-07,23.901796340942383
2025-05-08,23.81673812866211
2025-05-09,23.920698165893555
2025-05-12,23.797834396362305
2025-05-13,23.81673812866211
2025-05-14,23.750577926635742
2025-05-15,23.845088958740234
2025-05-16,23.80728530883789
2025-05-19,23.83563804626465
2025-05-20,23.882892608642578
2025-05-21,23.85453987121582
2025-05-22,23.80728530883789
2025-05-23,23.939599990844727
2025-05-27,23.87343978881836
2025-05-28,23.83563804626465
2025-05-29,23.87343978881836
2025-05-30,23.83563804626465
2025-06-02,23.977405548095703
2025-06-03,23.911245346069336
2025-06-04,24.034109115600586
2025-06-05,23.98685646057129
2025-06-06,23.920698165893555
2025-06-09,23.93014907836914
2025-06-10,23.939599990844727
2025-06-11,24.08136749267578
2025-06-12,24.2042293548584
2025-06-13,24.27984046936035
2025-06-16,24.22313117980957
2025-06-17,24.242034912109375
2025-06-18,24.242034912109375
2025-06-20,24.26093864440918
2025-06-23,24.242034912109375
2025-06-24,24.32709312438965
2025-06-25,24.345996856689453
2025-06-26,24.46885871887207
2025-06-27,24.45078468322754
2025-06-30,24.479324340820312
2025-07-01,24.49835205078125
2025-07-02,24.56494903564453
2025-07-03,24.51738166809082
2025-07-07,24.44127082824707
2025-07-08,24.460296630859375
2025-07-09,24.50786781311035
2025-07-10,24.469812393188477
2025-07-11,24.49835205078125
2025-07-14,24.460296630859375
