,CHSRI.SW
2019-11-21,12.294047355651855
2019-11-22,12.351486206054688
2019-11-25,12.457666397094727
2019-11-26,12.555139541625977
2019-11-27,12.570806503295898
2019-11-28,12.584731101989746
2019-11-29,12.576026916503906
2019-12-02,12.612579345703125
2019-12-03,12.299270629882812
2019-12-04,12.415889739990234
2019-12-05,12.457666397094727
2019-12-06,12.562102317810059
2019-12-09,12.529031753540039
2019-12-10,12.435036659240723
2019-12-11,12.441999435424805
2019-12-12,12.544694900512695
2019-12-13,12.560362815856934
2019-12-16,12.676984786987305
2019-12-17,12.605619430541992
2019-12-18,12.666540145874023
2019-12-19,12.682206153869629
2019-12-20,12.727462768554688
2019-12-23,12.826679229736328
2019-12-27,12.793604850769043
2019-12-30,12.73442554473877
2020-01-03,12.790124893188477
2020-01-06,12.706576347351074
2020-01-07,12.814495086669922
2020-01-08,12.826679229736328
2020-01-09,12.82493782043457
2020-01-10,12.845826148986816
2020-01-13,12.811013221740723
2020-01-14,12.861490249633789
2020-01-15,12.882378578186035
2020-01-16,12.891082763671875
2020-01-17,12.932854652404785
2020-01-20,13.05121898651123
2020-01-21,13.167841911315918
2020-01-22,13.19221019744873
2020-01-23,13.117362976074219
2020-01-24,13.19221019744873
2020-01-27,12.924153327941895
2020-01-28,12.96592903137207
2020-01-29,13.112141609191895
2020-01-30,12.9398193359375
2020-01-31,12.892822265625
2020-02-03,12.812755584716797
2020-02-04,13.026850700378418
2020-02-05,13.200911521911621
2020-02-06,13.23398494720459
2020-02-07,13.16610050201416
2020-02-10,13.232243537902832
2020-02-11,13.387160301208496
2020-02-12,13.395864486694336
2020-02-13,13.368013381958008
2020-02-14,13.420232772827148
2020-02-17,13.468969345092773
2020-02-18,13.350605964660645
2020-02-19,13.404565811157227
2020-02-20,13.341903686523438
2020-02-21,13.347126960754395
2020-02-24,12.760534286499023
2020-02-25,12.628247261047363
2020-02-26,12.744869232177734
2020-02-27,12.28360366821289
2020-02-28,11.85018539428711
2020-03-02,12.008583068847656
2020-03-03,12.395002365112305
2020-03-04,12.400224685668945
2020-03-05,12.287084579467773
2020-03-06,11.839742660522461
2020-03-09,11.214856147766113
2020-03-10,11.140009880065918
2020-03-11,11.030351638793945
2020-03-12,9.92331314086914
2020-03-13,9.959866523742676
2020-03-16,9.710955619812012
2020-03-17,9.886760711669922
2020-03-18,9.601296424865723
2020-03-19,9.898942947387695
2020-03-20,10.116521835327148
2020-03-23,9.519487380981445
2020-03-24,10.15829849243164
2020-03-25,10.353248596191406
2020-03-26,10.682226181030273
2020-03-27,10.5255708694458
2020-03-30,10.706594467163086
2020-03-31,10.871953964233398
2020-04-01,10.765775680541992
2020-04-02,10.757071495056152
2020-04-03,10.703112602233887
2020-04-06,10.931136131286621
2020-04-07,11.035574913024902
2020-04-08,11.025129318237305
2020-04-09,11.159157752990723
2020-04-14,11.298408508300781
2020-04-15,10.995539665222168
2020-04-16,11.056463241577148
2020-04-17,11.214856147766113
2020-04-20,11.30537223815918
2020-04-21,11.178305625915527
2020-04-22,11.284483909606934
2020-04-23,11.322776794433594
2020-04-24,11.298408508300781
2020-04-27,11.428956031799316
2020-04-28,11.50206184387207
2020-04-29,11.70223331451416
2020-04-30,11.51424503326416
2020-05-04,11.200932502746582
2020-05-05,11.409809112548828
2020-05-06,11.472471237182617
2020-05-07,11.491617202758789
2020-05-08,11.656975746154785
2020-05-11,11.648273468017578
2020-05-12,11.688308715820312
2020-05-13,11.580389976501465
2020-05-14,11.327998161315918
2020-05-15,11.3854398727417
2020-05-18,11.737046241760254
2020-05-19,11.787525177001953
2020-05-20,11.985955238342285
2020-05-22,11.867593765258789
2020-05-25,12.076470375061035
2020-05-26,12.097357749938965
2020-05-27,11.851927757263184
2020-05-28,12.168722152709961
2020-05-29,12.175683975219727
2020-06-02,12.220940589904785
2020-06-03,12.485515594482422
2020-06-04,12.494217872619629
2020-06-05,12.49073600769043
2020-06-08,12.44548225402832
2020-06-09,12.35844898223877
2020-06-10,12.32886028289795
2020-06-11,12.003361701965332
2020-06-12,12.039915084838867
2020-06-15,12.022509574890137
2020-06-16,12.307971000671387
2020-06-17,12.443739891052246
2020-06-18,12.447223663330078
2020-06-19,12.464629173278809
2020-06-22,12.370634078979492
2020-06-23,12.46636962890625
2020-06-24,12.271418571472168
2020-06-25,12.222681999206543
2020-06-26,12.337562561035156
2020-06-29,12.401966094970703
2020-06-30,12.415889739990234
2020-07-01,12.560362815856934
2020-07-02,12.610840797424316
2020-07-03,12.65435791015625
2020-07-06,12.826679229736328
2020-07-07,12.730945587158203
2020-07-08,12.764016151428223
2020-07-09,12.78664493560791
2020-07-10,12.837122917175293
2020-07-13,12.957223892211914
2020-07-14,12.856268882751465
2020-07-15,13.148693084716797
2020-07-16,13.143471717834473
2020-07-17,13.133028984069824
2020-07-20,13.27575969696045
2020-07-21,13.284462928771973
2020-07-22,13.35408878326416
2020-07-23,13.319275856018066
2020-07-24,13.099956512451172
2020-07-27,13.190469741821289
2020-07-28,13.16610050201416
2020-07-29,13.138249397277832
2020-07-30,12.917190551757812
2020-07-31,12.861490249633789
2020-08-03,13.186988830566406
2020-08-04,13.018148422241211
2020-08-05,13.075587272644043
2020-08-06,13.012925148010254
2020-08-07,13.03903579711914
2020-08-10,13.054699897766113
2020-08-11,13.12780475616455
2020-08-12,13.27575969696045
2020-08-13,13.267056465148926
2020-08-14,13.155656814575195
2020-08-17,13.249650001525879
2020-08-18,13.152174949645996
2020-08-19,13.167841911315918
2020-08-20,13.18002700805664
2020-08-21,13.216578483581543
2020-08-24,13.31057071685791
2020-08-25,13.246170043945312
2020-08-26,13.300127029418945
2020-08-27,13.246170043945312
